long,lat,nombre,barrio
-58.50536761,-34.61950706,ALVAREZ JONTE AV. 4753,Monte Castro
-58.50837544,-34.62134309,ALVAREZ JONTE AV. 5069,Monte Castro
-58.51006628,-34.62283092,ALVAREZ JONTE AV. 5163,Monte Castro
-58.5124153,-34.62490173,ALVAREZ JONTE AV. 5379,Monte Castro
-58.51531445,-34.62745778,ALVAREZ JONTE AV. 5695,Monte Castro
-58.51674191,-34.62958372,ALVAREZ JONTE AV. 5933,Versalles
-58.51892883,-34.6311688,ALVAREZ JONTE AV. 6173,Versalles
-58.50829849,-34.57213318,"ALVAREZ PRADO, MANUEL 2462",Villa Pueyrredon
-58.44736645,-34.58199011,ALVAREZ THOMAS AV. 210,Chacarita
-58.44875908,-34.58123469,ALVAREZ THOMAS AV. 339,Colegiales
-58.45237308,-34.5799362,ALVAREZ THOMAS AV. 739,Colegiales
-58.45334481,-34.57983585,ALVAREZ THOMAS AV. 794,Chacarita
-58.45672352,-34.57860916,ALVAREZ THOMAS AV. 1071,Colegiales
-58.4624539,-34.57826399,ALVAREZ THOMAS AV. 1445,Villa Ortuzar
-58.47155919,-34.57805553,ALVAREZ THOMAS AV. 2155,Villa Ortuzar
-58.47263536,-34.57781406,ALVAREZ THOMAS AV. 2237,Villa Ortuzar
-58.45561036,-34.64417516,"ALVAREZ, CRISOSTOMO 2711",Flores
-58.45833645,-34.64618933,"ALVAREZ, CRISOSTOMO 2985",Flores
-58.4604427,-34.64770876,"ALVAREZ, CRISOSTOMO 3173",Flores
-58.47378915,-34.66091748,"ALVAREZ, CRISOSTOMO 4458",Parque Avellaneda
-58.49296609,-34.6778194,"ALVAREZ, CRISOSTOMO 6793",Villa Lugano
-58.45688414,-34.61927689,"ALVAREZ, DONATO, TTE. GRAL. 559",Caballito
-58.45891814,-34.61483187,"ALVAREZ, DONATO, TTE. GRAL. 933",Caballito
-58.45972804,-34.61351644,"ALVAREZ, DONATO, TTE. GRAL. 1120",Villa Gral. Mitre
-58.46121657,-34.61023222,"ALVAREZ, DONATO, TTE. GRAL. 1445",Caballito
-58.46854174,-34.5950703,"ALVAREZ, DONATO, TTE. GRAL. AV. 2556",Paternal
-58.39046333,-34.58655105,ALVEAR AV. 2106,Recoleta
-58.38747905,-34.59703952,"ALVEAR, MARCELO T. DE 1435",Recoleta
-58.39678737,-34.59723041,"ALVEAR, MARCELO T. DE 2051",Recoleta
-58.40094119,-34.59650992,"ALVEAR, MARCELO T. DE 2349",Recoleta
-58.41486148,-34.63580478,ALZAGA 2050,Boedo
-58.51580422,-34.65516557,ANDALGALA 1527,Mataderos
-58.514413,-34.65626461,ANDALGALA 1653,Mataderos
-58.50363149,-34.6650238,ANDALGALA 2489,Mataderos
-58.50244645,-34.66593263,ANDALGALA 2591,Mataderos
-58.48049113,-34.58637205,ANDONAEGUI 1382,Parque Chas
-58.46898431,-34.66735934,AQUINO 4651,Villa Lugano
-58.47522103,-34.67313739,AQUINO 5437,Villa Lugano
-58.44317682,-34.61475711,"ARANGUREN, JUAN F., DR. 761",Caballito
-58.44887107,-34.61709162,"ARANGUREN, JUAN F., DR. 1125",Caballito
-58.45149613,-34.61809897,"ARANGUREN, JUAN F., DR. 1361",Caballito
