long,lat,materiales,dias_y_horario,direccion,barrio
-58.48349323,-34.63194291,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,BACACAY 3968,Floresta
-58.43280775,-34.6056005,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,PATRICIAS ARGENTINAS AV. 277,Caballito
-58.40929504,-34.58715392,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,BERUTI 3325,Palermo
-58.44155736,-34.62111798,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,RIVADAVIA AV. 5430,Caballito
-58.36983464,-34.62896673,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"GARCIA, MARTIN AV. 346",Boca
-58.45102365,-34.55727128,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",ARRIBEÑOS 2200,Belgrano
-58.37500573,-34.60720213,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.","SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. y FLORIDA",San Nicolas
-58.39174423,-34.58385443,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.","FIGUEROA ALCORTA, PRES. AV. 2200",Recoleta
-58.3908671,-34.58793122,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.","QUINTANA, MANUEL, PRES. AV. 500",Recoleta
-58.40347519,-34.57732987,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.","FIGUEROA ALCORTA, PRES. AV. 3400",Palermo
-58.37560074,-34.596441,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.","ALVEAR, MARCELO T. DE 600",Retiro
-58.36571313,-34.61291701,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",GORRITI JUANA MANUELA 1200,Puerto Madero
-58.47332563,-34.62199067,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19 hs.,NAZCA  AV. y NEUQUEN,Flores
-58.48448704,-34.58797919,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,BUCAREST y HAMBURGO,Parque Chas
-58.49869138,-34.61626099,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,ALVAREZ JONTE AV. 4180,Monte Castro
-58.42476729,-34.65025724,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,BARCO CENTENERA DEL 2906,Nueva Pompeya
-58.36568154,-34.60801971,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",GORRITI JUANA MANUELA 800,Puerto Madero
-58.51268484,-34.63413553,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"JUSTO, JUAN B. AV. 8800",Versalles
-58.46718612,-34.58839287,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,MONTENEGRO y HEREDIA,Villa Ortuzar
-58.50284312,-34.66010777,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"DIRECTORIO AV. y DE LA TORRE, LISANDRO AV.",Mataderos
-58.3990099,-34.59664921,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"URIBURU JOSE E., PRES. 1022",Recoleta
-58.44482945,-34.60488276,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,ANTEZANA y OLAYA,Villa Crespo
-58.47437319,-34.64594559,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,LACARRA AV. 1257,Parque Avellaneda
-58.49114089,-34.62219842,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,MERCEDES 1300,Floresta
-58.44462288,-34.63304625,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"PERON, EVA AV. 1410",Parque Chacabuco
-58.44397737,-34.58007664,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"FREIRE, RAMON, CAP. GRAL. 120",Colegiales
-58.44137916,-34.58702427,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,CORDOBA  AV. 5690,Chacarita
-58.37645975,-34.63832573,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"HORNOS, GRAL. y BRANDSEN",Barracas
-58.38938108,-34.64927141,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,VELEZ SARSFIELD AV. 1271,Barracas
-58.48951669,-34.57251874,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19 hs.,"RIVERA, PEDRO I., DR. y BAUNESS",Villa Urquiza
-58.52015213,-34.65745597,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19 hs.,ERCILLA 7502,Mataderos
-58.47774627,-34.56851811,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,HOLMBERG 2548,Villa Urquiza
-58.40887384,-34.63956929,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,PEPIRI 135,Parque Patricios
-58.40853244,-34.62625078,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,ORURO 1310,San Cristobal
-58.40223634,-34.5734403,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"SALGUERO, JERONIMO 3450",Recoleta
-58.48394853,-34.64706814,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,OLIVERA AV. 824,Parque Avellaneda
-58.43008052,-34.57370405,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,HUERGO 131,Palermo
